x,y,name
-4.0783296,9.937339,컨텐츠 디자이너
3.5539012,7.2725906,[피플팀] 채용담당자
-5.9066195,8.8984165,웹디자이너
-5.414826,1.9012328,정보보호 담당자(팀장급)
1.7066599,-2.513205,시니어 프론트엔드 개발자
0.9095186,3.9910128,인공지능/머신러닝 개발자
0.4641109,0.26954415,IT 개발 (방송Product)
0.87190896,-0.31403348,GS Fresh Back-End 개발 (BO Product)
-1.09959,4.4587703,운영/개발 엔지니어 (고객Product)
0.76700324,10.934828,MD
-1.3435302,11.752835,커머스팀 팀장
-1.8936539,9.954216,애슬레저 의류 디자이너
-0.77358073,13.275375,신선하이 CRM마케터
-1.6254995,7.1233106,그로스 마케터
5.3307514,10.20767,"경영지원(회계, 재무, 인사)"
1.8965392,4.2821865,자연어처리 AI R&D 엔지니어 (석사이상)
-2.0925276,1.6733414,인프라 엔지니어
0.7453986,6.435256,교육 운영 매니저
-2.5857759,10.5416765,서비스 마케팅
1.7887946,-2.4183042,웹 프론트엔드 개발자
-2.7875063,10.001144,서비스 기획
3.0660589,1.6222774,안드로이드 개발자 (Kotlin)
-3.04824,8.8477745,[타입스] 리드 브랜드 마케터 [3-5년 이상]
-4.0187044,12.190312,디지털마케터
-6.266925,11.644239,"영상, 유튜브, 바이럴 영상제작 PD"
-0.12896976,8.947232,사업전략 Manager
3.483824,10.55945,경영지원 담당자
-6.078253,5.869055,UX/UI Designer
2.824638,-0.65230125,블록체인 웹서비스 개발자
-0.053506836,8.318935,게임 디파이 서비스 담당자
-5.663888,1.829722,정보보안 정책 운영 및 감사
-4.094448,1.4528992,CERT 담당
1.1009471,2.6204383,블록체인 게임 기획자
3.4750068,-0.8819663,웹 프로그래머 (Front-end)
-2.5251327,7.885641,배경 원화가
-1.850891,14.649439,퍼포먼스 마케터(대리급)
2.1545575,9.195602,C 레벨 임원 비서
-1.4599022,1.7094072,[글로벌디지털마케팅] MLOps Data Engineer
-0.261845,-0.9396857,[글로벌디지털마케팅] Python Backend Engineer
4.718875,6.131294,[글로벌디지털마케팅] 채용 코디네이터
-1.5992538,9.989539,BO팀 MD (BO Team MD)
-2.785378,8.385845,CX 운영 Manager
5.362279,6.4600215,인재 영입 & 온보딩 매니저
-1.0210562,13.2816,퍼포먼스 & CRM 마케터
3.5198767,1.2366943,iOS 개발자
0.36477053,2.2525642,플랫폼 서비스 프론트엔드 개발자(React)
1.2311972,-1.9596068,[플랫폼개발] 프론트엔드개발 담당
-2.6229336,6.421097,핀테크 앱서비스 기획자
0.61570424,9.659577,여주물류센터 현장
1.0552928,9.389875,와인 물류팀
-3.8812535,9.404836,공간 & 인테리어 디자이너
-0.395819,0.9128067,node.js 개발자
-0.20062822,11.867779,PB제품 기획 및 마케팅
1.4397466,2.4891248,프론트엔드 개발자 (3년이상~)
1.1916479,3.5092862,C# 어플리케이션 소프트웨어 개발자 (3년이상~)
-2.6655478,10.446069,MCN 영업담당자
-1.1018132,12.9423485,온라인 마케터
-3.3106773,0.16490997,DevOps / 시스템관리자
1.5166703,9.002984,Head of Operations
-1.1953677,8.123796,사업개발 담당자
-7.145398,9.473854,[1~2년] 비글즈 캐릭터 디자이너
4.304457,11.112099,경리.회계
5.210227,10.437836,경영지원 (operation) 매니저
-0.34836307,-0.76667327,백엔드(Back-End) 개발자
0.68465114,10.04116,홀서비스
0.6310455,9.896379,"홀 서비스 스탭,  관리자"
-0.2001764,11.863954,바잉MD (3년 이상)
3.9883065,2.0045793,[PAY] 크로스플랫폼 앱개발자
-2.1473467,7.991595,Program Developer : 교육 프로그램 기획자
0.60917073,8.043955,고객 경험 및 운영 지원 매니저
-5.350699,10.945701,영상 제작자
2.1230664,0.1387154,iOS 개발자
-1.4424092,3.994293,CTO
-4.578661,9.381212,그래픽 디자이너
1.9573461,-2.0139582,웹 프론트엔드 개발자
-3.0841732,12.453456,브랜드마케터
1.3910344,-0.03230378,"Java + Spring Backend, Frontend Engineer"
2.3745947,5.241422,의료 영상 처리 및  인공 지능 개발
